Entity,Code,Year,Prevalence - Depressive disorders - Sex: Male - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Female - Age: Age-standardized (Percent),Population (historical estimates),Continent,latitude,longitude
Afghanistan,AFG,2015,4.3845938930654205,5.83731003767719,34413603.0,Asia,33.7680065,66.2385139
Albania,ALB,2015,1.76862592193952,3.41073207480765,2890524.0,Europe,41.000028,19.9999619
Algeria,DZA,2015,3.44344059300368,5.17257283927886,39728020.0,Africa,28.0000272,2.9999825
American Samoa,ASM,2015,2.31751813031286,3.19901038178309,55806.0,Oceania,-14.297124,-170.7131481
Andorra,AND,2015,3.1435660076009704,4.71356405219858,77993.0,Europe,42.5407167,1.5732033
Angola,AGO,2015,4.93634403408488,6.65106042993376,27884380.0,Africa,-11.8775768,17.5691241
Antigua and Barbuda,ATG,2015,2.17132221254248,3.84130687931855,93571.0,North America,17.2234721,-61.9554608
Argentina,ARG,2015,2.01743675015164,3.1438293507483404,43075416.0,South America,-34.9964963,-64.9672817
Armenia,ARM,2015,2.51930594588072,3.6558045188026895,2925559.0,Asia,40.7696272,44.6736646
Australia,AUS,2015,4.09177009689817,5.76962925515663,23932499.0,Oceania,-24.7761086,134.755
Austria,AUT,2015,2.6119501958936,4.16216005684379,8678667.0,Europe,47.59397,14.12456
Azerbaijan,AZE,2015,2.18813074723774,3.49572739488173,9622741.0,Asia,40.3936294,47.7872508
Bahamas,BHS,2015,2.24723278690831,3.9114784046090096,374200.0,North America,24.7736546,-78.0000547
Bahrain,BHR,2015,4.1547795138274894,5.682970332497471,1371853.0,Asia,26.1551249,50.5344606
Bangladesh,BGD,2015,3.57885433219753,5.8318892278116,156256287.0,Asia,24.4769288,90.2934413
Barbados,BRB,2015,2.48943080866345,3.97373083477195,285327.0,North America,13.1500331,-59.5250305
Belarus,BLR,2015,3.47533615015773,4.7977209489729296,9439424.0,Europe,53.4250605,27.6971358
Belgium,BEL,2015,3.1648235456617497,4.59567119994419,11287931.0,Europe,50.6402809,4.6667145
Belize,BLZ,2015,2.73314188065973,4.09004203597762,360926.0,North America,16.8259793,-88.7600927
Benin,BEN,2015,3.62770117754557,5.30239065137316,10575962.0,Africa,9.5293472,2.2584408
Bermuda,BMU,2015,2.55013667077608,4.09681407125198,63695.0,North America,32.30382,-64.7561647
Bhutan,BTN,2015,3.51592126150894,4.74113353185468,727885.0,Asia,27.549511,90.5119273
Bolivia,BOL,2015,2.60391265221526,4.48607829396054,10869732.0,South America,-17.0568696,-64.9912286
Bosnia and Herzegovina,BIH,2015,1.96480585332948,3.76975366318359,3429362.0,Europe,44.3053476,17.5961467
Botswana,BWA,2015,3.68277545838748,5.07211742992757,2120716.0,Africa,-23.1681782,24.5928742
Brazil,BRA,2015,2.7764874844295298,5.17722919464458,204471759.0,South America,-10.3333333,-53.2
Brunei,BRN,2015,1.34122431612606,2.01954735884363,414914.0,Asia,4.4137155,114.5653908
Bulgaria,BGR,2015,2.01456186282394,3.62183380172029,7199739.0,Europe,42.6073975,25.4856617
Burkina Faso,BFA,2015,3.9473193258577295,5.14944814227739,18110616.0,Africa,12.0753083,-1.6880314
Burundi,BDI,2015,3.9734692914674,5.61939140914731,10160034.0,Africa,-3.426449,29.9324519
Cambodia,KHM,2015,2.61917688226709,3.3939090895957,15521435.0,Asia,12.5433216,104.8144914
Cameroon,CMR,2015,3.787486180271981,5.58329498402562,23298376.0,Africa,4.6125522,13.1535811
Canada,CAN,2015,2.73806692858734,4.40526519564705,36026668.0,North America,61.0666922,-107.991707
Cape Verde,CPV,2015,4.60210407998041,5.552965086266759,524740.0,Africa,16.0000552,-24.0083947
Central African Republic,CAF,2015,5.237380989136399,6.695293497037,4493171.0,Africa,7.0323598,19.9981227
Chad,TCD,2015,4.18278933579669,6.2592827535514495,14110971.0,Africa,15.6134137,19.0156172
Chile,CHL,2015,2.71094202662713,5.23479471275,17969356.0,South America,-31.7613365,-71.3187697
China,CHN,2015,2.25428680121414,3.61341968904826,1406847868.0,Asia,35.000074,104.999927
Colombia,COL,2015,2.19990871231938,2.37174585382313,47520667.0,South America,4.099917,-72.9088133
Comoros,COM,2015,3.5917705946530902,5.09591319212335,777435.0,Africa,-12.2045176,44.2832964
Congo,COG,2015,4.7112714742625,6.51728351144209,4856093.0,Africa,-2.9814344,23.8222636
Cook Islands,COK,2015,2.81543876100613,3.79352890970984,17581.0,Oceania,-19.919672900000002,-157.9753368892878
Costa Rica,CRI,2015,2.8315361212662897,3.91469032403988,4847805.0,North America,10.2735633,-84.0739102
Cote d'Ivoire,CIV,2015,3.2636448559855,4.75586084887182,23226148.0,Africa,7.9897371,-5.5679458
Croatia,HRV,2015,2.38722759961589,3.97337266033197,4232874.0,Europe,45.3658443,15.6575209
Cuba,CUB,2015,3.12085928006976,4.80990239860741,11324777.0,North America,23.0131338,-80.8328748
Cyprus,CYP,2015,2.4787047742278903,4.011599506538429,1160987.0,Europe,34.9823018,33.1451285
Czechia,CZE,2015,2.26162894455909,3.89616916786035,10601390.0,Europe,49.7439047,15.3381061
Democratic Republic of Congo,COD,2015,4.70700473625337,6.21990056468575,76244532.0,Africa,-15.4139213,28.289698
Denmark,DNK,2015,2.94682641776908,4.7916546084815295,5688695.0,Europe,55.670249,10.3333283
Djibouti,DJI,2015,3.8756373640515296,5.40233156306571,913998.0,Africa,11.8145966,42.8453061
Dominica,DMA,2015,2.42753264738094,3.87922336779744,71175.0,North America,19.0974031,-70.3028026
Dominican Republic,DOM,2015,2.95412100172546,4.941049649204969,10281675.0,North America,19.0974031,-70.3028026
Ecuador,ECU,2015,2.84254228326884,4.15560022984819,16212022.0,South America,-1.3397668,-79.3666965
