Entity,Code,Year,Prevalence - Mental and substance use disorders - Sex: Male - Age: Age-standardized (Percent),Prevalence - Mental and substance use disorders - Sex: Female - Age: Age-standardized (Percent),Population (historical estimates),Continent,latitude,longitude,Number of women with mental and substance use disorder,Number of men with mental and substance use disorder
Afghanistan,AFG,2015,16.753067735400002,17.0412315865,34413603.0,Asia,33.7680065,66.2385139,5864501.7844887115,5765334.220781647
Albania,ALB,2015,10.6483448394,11.0589890681,2890524.0,Europe,41.000028,19.9999619,319662.7331708069,307792.96318561846
Algeria,DZA,2015,14.0407332484,14.9868085708,39728020.0,Africa,28.0000272,2.9999825,5953962.306369138,5578105.313071001
American Samoa,ASM,2015,10.6921748381,11.0072865709,55806.0,Oceania,-14.297124,-170.7131481,6142.726343756454,5966.875090150086
Andorra,AND,2015,13.6044570053,15.8509253866,77993.0,Europe,42.5407167,1.5732033,12362.61223677094,10610.524152143631
Angola,AGO,2015,12.4321627324,12.3272453211,27884380.0,Africa,-11.8775768,17.5691241,3437375.9288677443,3466631.4985207994
Antigua and Barbuda,ATG,2015,12.985714415,13.375635030399998,93571.0,North America,17.2234721,-61.9554608,12515.715454295583,12150.86283525965
Argentina,ARG,2015,13.6936131034,17.573386082,43075416.0,South America,-34.9964963,-64.9672817,7569809.1601076005,5898580.809720061
Armenia,ARM,2015,10.6684657529,10.553467933,2925559.0,Asia,40.7696272,44.6736646,308747.93092599546,312112.2599958837
Australia,AUS,2015,17.5417156973,19.3116268726,23932499.0,Oceania,-24.7761086,134.755,4621754.908168727,4198170.933839166
Austria,AUT,2015,13.0569208992,15.5897816391,8678667.0,Europe,47.59397,14.12456,1352985.2344846309,1133166.6852949737
Azerbaijan,AZE,2015,10.3460651886,10.3776750584,9622741.0,Asia,40.3936294,47.7872508,998616.7926914308,995575.0567901396
Bahamas,BHS,2015,13.1398728282,13.4815067275,374200.0,North America,24.7736546,-78.0000547,50447.798174305,49169.4041231244
Bahrain,BHR,2015,13.9356628606,14.8338872111,1371853.0,Asia,26.1551249,50.5344606,203499.1267220917,191176.80902302693
Bangladesh,BGD,2015,11.6835774892,13.4084533054,156256287.0,Asia,24.4769288,90.2934413,20951551.27914681,18256324.373391744
Barbados,BRB,2015,13.450218502399998,13.596184527999998,285327.0,North America,13.1500331,-59.5250305,38793.585428206556,38377.10494634284
Belarus,BLR,2015,11.9905501475,12.0918116629,9439424.0,Europe,53.4250605,27.6971358,1141397.3721425817,1131838.8683551503
